Wall time,Step,Value
1508725837.266134,11,11.0
1508725837.390381,25,12.5
1508725837.5042245,38,12.666666984558105
1508725837.5910056,48,12.0
1508725837.6589124,55,11.0
1508725837.7362971,68,11.399999618530273
1508725837.7747242,77,10.399999618530273
1508725837.8582492,90,10.399999618530273
1508725837.9903965,106,11.600000381469727
1508725839.3132148,120,13.0
1508725839.3773155,130,12.399999618530273
1508725839.443523,137,12.0
1508725839.5100794,147,11.399999618530273
1508725839.5882597,157,10.199999809265137
1508725839.6829944,168,9.600000381469727
1508725839.7549906,178,9.600000381469727
1508725839.838046,188,10.199999809265137
1508725839.940827,200,10.600000381469727
1508725840.0569746,214,11.399999618530273
1508725841.1458879,225,11.399999618530273
1508725841.2725432,241,12.600000381469727
1508725841.3540142,250,12.399999618530273
1508725841.5148463,268,13.600000381469727
1508725841.631056,281,13.399999618530273
1508725841.7075827,289,12.800000190734863
1508725841.8616612,309,13.600000381469727
1508725841.9397717,318,13.600000381469727
1508725843.3779743,358,18.0
1508725843.7534993,403,24.399999618530273
1508725844.2492366,471,36.400001525878906
1508725844.7319264,535,45.20000076293945
1508725847.0757644,700,76.4000015258789
1508725855.0282729,1700,268.3999938964844
1508725857.2537172,1984,316.20001220703125
1508725859.5199177,2265,358.79998779296875
1508725868.599762,3265,546.0
1508725876.4264588,4265,713.0
1508725884.4050326,5265,713.0
1508725892.6094034,6265,856.2000122070312
1508725901.575373,7265,1000.0
1508725909.735639,8265,1000.0
1508725917.7862046,9265,1000.0
1508725925.815202,10265,1000.0
1508725934.9624755,11265,1000.0
1508725943.0353062,12265,1000.0
1508725951.1109798,13265,1000.0
1508725958.9526088,14265,1000.0
1508725967.749939,15265,1000.0
1508725975.8201745,16265,1000.0
1508725983.8421857,17265,1000.0
1508725991.8651469,18265,1000.0
1508726000.999163,19265,1000.0
1508726009.0593767,20265,1000.0
1508726017.0576603,21265,1000.0
1508726025.022271,22265,1000.0
1508726033.9587297,23265,1000.0
1508726042.0245786,24265,1000.0
1508726049.6198373,25265,1000.0
1508726057.5164404,26265,1000.0
1508726066.7147405,27265,1000.0
1508726074.5812063,28265,1000.0
1508726082.5719824,29265,1000.0
1508726090.4151645,30265,1000.0
1508726099.4128506,31265,1000.0
1508726107.530227,32265,1000.0
1508726115.5296037,33265,1000.0
1508726123.4900587,34265,1000.0
1508726132.5408201,35265,1000.0
1508726140.6380281,36265,1000.0
1508726148.601152,37265,1000.0
1508726156.6481307,38265,1000.0
1508726165.632091,39265,1000.0
1508726173.6170158,40265,1000.0
1508726181.533295,41265,1000.0
1508726189.4544904,42265,1000.0
1508726198.4583776,43265,1000.0
1508726206.4738371,44265,1000.0
1508726214.4092896,45265,1000.0
1508726222.4037473,46265,1000.0
1508726226.4741237,46629,872.7999877929688
1508726230.9970746,47196,786.2000122070312
1508726234.094899,47581,663.2000122070312
1508726235.6345353,47778,502.6000061035156
1508726237.4838572,47876,322.20001220703125
1508726238.6932838,48029,280.0
1508726239.7714865,48169,194.60000610351562
1508726240.8760989,48308,145.39999389648438
1508726242.3703215,48368,118.0
1508726242.5756924,48393,103.4000015258789
1508726244.020341,48565,107.19999694824219
1508726245.1595805,48706,107.4000015258789
1508726247.534347,48879,114.19999694824219
1508726248.9103544,49050,136.39999389648438
1508726250.097129,49195,160.39999389648438
1508726251.3657432,49354,157.8000030517578
1508726254.5246055,49621,183.0
1508726256.14758,49820,188.1999969482422
1508726257.8968458,50029,195.8000030517578
1508726259.1611545,50186,198.1999969482422
1508726260.647105,50241,177.39999389648438
1508726261.063143,50295,134.8000030517578
1508726261.77683,50387,113.4000015258789
1508726262.6180317,50486,91.4000015258789
1508726264.336095,50571,77.0
1508726265.118628,50666,85.0
1508726267.739674,51001,141.1999969482422
1508726269.5666304,51227,168.0
1508726271.0032613,51285,159.8000030517578
1508726271.8147242,51380,161.8000030517578
1508726273.7433367,51615,189.8000030517578
1508726275.691229,51856,171.0
1508726277.256042,51920,138.60000610351562
1508726278.0099626,52006,144.1999969482422
1508726278.683739,52088,141.60000610351562
1508726279.591169,52194,115.80000305175781
1508726280.8910735,52233,75.4000015258789
1508726281.2345614,52275,71.0
1508726281.367162,52292,57.20000076293945
1508726281.459919,52304,43.20000076293945
1508726290.3718727,53304,222.0
1508726298.2500377,54304,414.20001220703125
1508726306.1560743,55304,605.7999877929688
1508726313.9751656,56304,802.4000244140625
1508726315.7743394,56402,819.5999755859375
1508726316.3101013,56464,632.0
1508726317.1776369,56572,453.6000061035156
1508726317.867528,56657,270.6000061035156
1508726320.0466418,56804,100.0
1508726321.0377588,56927,105.0
1508726322.0666966,57050,117.19999694824219
1508726323.2478135,57197,125.0
1508726325.0128086,57286,125.80000305175781
1508726325.7163484,57371,113.4000015258789
1508726326.2633684,57437,102.0
1508726326.7766368,57500,90.0
1508726328.6665587,57615,83.5999984741211
1508726329.0198631,57662,75.19999694824219
1508726329.8863611,57765,78.80000305175781
1508726330.5407233,57847,82.0
1508726332.2342145,57938,87.5999984741211
1508726333.1929936,58050,87.0
1508726334.1036968,58164,100.4000015258789
1508726334.5539098,58221,91.19999694824219
1508726336.6123962,58345,99.5999984741211
1508726337.6743507,58477,107.80000305175781
1508726338.421308,58571,104.19999694824219
1508726339.3937712,58686,104.4000015258789
1508726341.3258398,58804,116.5999984741211
1508726342.164969,58914,113.80000305175781
1508726343.3439982,59063,117.19999694824219
1508726344.4605145,59207,127.19999694824219
1508726346.9004688,59392,141.1999969482422
1508726348.8612933,59635,166.1999969482422
1508726350.8705204,59925,202.1999969482422
1508726351.7739112,60037,194.8000030517578
1508726360.7137132,61037,366.0
1508726368.8128915,62037,529.0
1508726376.707942,63037,680.4000244140625
1508726384.6157563,64037,822.4000244140625
1508726393.5952513,65037,1000.0
1508726401.5883274,66037,1000.0
1508726409.5871303,67037,1000.0
1508726417.514441,68037,1000.0
1508726419.8513517,68193,831.2000122070312
1508726421.5080414,68402,673.0
1508726422.9221764,68580,508.6000061035156
1508726424.1150649,68732,339.0
1508726433.1674547,69732,339.0
1508726437.4599423,70270,415.3999938964844
